id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x479f57beae905a19:0x3ce4edf81f132260,Brotbackkurse Walzel,90409,"Pirckheimerstraße 98, 90409 Nürnberg",4.7,184,Bäckerei,49.4610784,11.0873793,06,"Altstadt, St. Sebald",false,None,None,None,None,None,None,https://www.google.com/maps/place/Brotbackkurse+Walzel/data=!4m7!3m6!1s0x479f57beae905a19:0x3ce4edf81f132260!8m2!3d49.4610784!4d11.0873793!16s%2Fg%2F1tfwjc3f!19sChIJGVqQrr5Xn0cRYCITH_jt5Dw?authuser=0&hl=de&rclk=1,2026-05-02T11:08:20Z,active,success,None
0x479f57b8d21cbda3:0x9dfc940071d4a7e5,Bäckerei Christian Albert,90409,"Parkstraße 10, 90409 Nürnberg",4.8,229,Bäckerei,49.463803,11.0877572,26,Maxfeld,false,None,None,None,None,None,None,https://www.google.com/maps/place/B%C3%A4ckerei+Christian+Albert/data=!4m7!3m6!1s0x479f57b8d21cbda3:0x9dfc940071d4a7e5!8m2!3d49.463803!4d11.0877572!16s%2Fg%2F1tj51lj0!19sChIJo70c0rhXn0cR5afUcQCU_J0?authuser=0&hl=de&rclk=1,2026-05-02T11:08:16Z,active,success,None
0x479f57c605e08f4d:0xb512d9611a1681a5,CULINA,90409,"Schleifweg 31-33, 90409 Nürnberg",4.6,180,Restaurant,49.4709282,11.0850807,26,Maxfeld,true,11,20,15.5,7.93,4.315,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/CULINA/data=!4m7!3m6!1s0x479f57c605e08f4d:0xb512d9611a1681a5!8m2!3d49.4709282!4d11.0850807!16s%2Fg%2F1tg5b2ns!19sChIJTY_gBcZXn0cRpYEWGmHZErU?authuser=0&hl=de&rclk=1,2026-05-02T11:11:34Z,active,success,None
0x479f57bf68a8abab:0x9405abc39098e102,Cafe Max Piano,90409,"Am Stadtpark 67, 90409 Nürnberg",4.8,8,Café / Konditorei,49.4649208,11.0906083,26,Maxfeld,false,None,None,None,None,None,None,https://www.google.com/maps/place/Cafe+Max+Piano/data=!4m7!3m6!1s0x479f57bf68a8abab:0x9405abc39098e102!8m2!3d49.4649208!4d11.0906083!16s%2Fg%2F11f4pxt4ng!19sChIJq6uoaL9Xn0cRAuGYkMOrBZQ?authuser=0&hl=de&rclk=1,2026-05-02T11:29:37Z,active,success,None
0x479f57be2d72a2ad:0x5f4a89beee8a13e7,Café Roulant,90409,None,None,0,Café / Konditorei,49.4624166,11.0937328,09,Wöhrd,false,None,None,None,None,None,None,https://www.google.com/maps/place/Caf%C3%A9+Roulant/data=!4m7!3m6!1s0x479f57be2d72a2ad:0x5f4a89beee8a13e7!8m2!3d49.4624166!4d11.0937328!16s%2Fg%2F11g1f8w37d!19sChIJraJyLb5Xn0cR5xOK7r6JSl8?authuser=0&hl=de&rclk=1,2026-05-02T11:30:17Z,no_public_reviews,success,None
0x479f57c60bc3ffff:0xadb16aefab297eca,Campus Dampfbäckerei,90409,"Schleifweg 37, 90409 Nürnberg",None,0,Sonstiges,49.4709357,11.0854874,26,Maxfeld,false,None,None,None,None,None,None,https://www.google.com/maps/place/Campus+Dampfb%C3%A4ckerei/data=!4m7!3m6!1s0x479f57c60bc3ffff:0xadb16aefab297eca!8m2!3d49.4709357!4d11.0854874!16s%2Fg%2F11q8sltmw9!19sChIJ___DC8ZXn0cRyn4pq-9qsa0?authuser=0&hl=de&rclk=1,2026-05-02T11:23:16Z,no_public_reviews,success,None
0x479f576741590a47:0x7e7e29d99648a4ab,Candys Café,90409,"Löbleinstraße 60, 90409 Nürnberg",4.8,352,Café / Konditorei,49.4657423,11.088641,26,Maxfeld,false,None,None,None,None,None,None,https://www.google.com/maps/place/Candys+Caf%C3%A9/data=!4m7!3m6!1s0x479f576741590a47:0x7e7e29d99648a4ab!8m2!3d49.4657423!4d11.088641!16s%2Fg%2F11kh062fqd!19sChIJRwpZQWdXn0cRq6RIltkpfn4?authuser=0&hl=de&rclk=1,2026-05-02T11:30:23Z,permanently_closed,success,None
0x479f57bebc3dbad1:0x8744d8feaf0b3e46,Casa Mendoza Nürnberg - Tapas • Vino • Cerveza,90409,"Schonhoverstraße 18, 90409 Nürnberg",4.6,748,Restaurant,49.4614789,11.0885713,08,Pirckheimerstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/Casa+Mendoza+Tapas+%E2%80%A2+Vino+%E2%80%A2+Cerveza/data=!4m7!3m6!1s0x479f57bebc3dbad1:0x8744d8feaf0b3e46!8m2!3d49.4614789!4d11.0885713!16s%2Fg%2F11cs601579!19sChIJ0bo9vL5Xn0cRRj4Lr_7YRIc?authuser=0&hl=de&rclk=1,2026-05-02T11:15:50Z,active,success,None
0x479f57bdca379d5b:0xd9b60f82c59044ae,China Inn Imbiss,90409,"Bayreuther Str. 13A, 90409 Nürnberg",4.8,289,Imbiss,49.4594102,11.0901267,08,Pirckheimerstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/China+Inn+Imbiss/data=!4m7!3m6!1s0x479f57bdca379d5b:0xd9b60f82c59044ae!8m2!3d49.4594102!4d11.0901267!16s%2Fg%2F11bzt6b5xr!19sChIJW503yr1Xn0cRrkSQxYIPttk?authuser=0&hl=de&rclk=1,2026-05-02T11:01:30Z,active,success,None
0x479f57eabd4ab453:0xf344a8ba2e4abb8,Colosseo,90409,"Äußere Bayreuther Str. 27, 90409 Nürnberg",4.7,615,Restaurant,49.4662839,11.0968456,27,Veilhof,false,None,None,None,None,None,None,https://www.google.com/maps/place/Colosseo/data=!4m7!3m6!1s0x479f57eabd4ab453:0xf344a8ba2e4abb8!8m2!3d49.4662839!4d11.0968456!16s%2Fg%2F1tdypsl4!19sChIJU7RKvepXn0cRuKvkootKNA8?authuser=0&hl=de&rclk=1,2026-05-02T11:20:39Z,temporarily_closed,success,None
0x479f57b9012766f9:0xa33078a0ff706dfd,Deli Desires Dining,90409,"Goethestraße 20, 90409 Nürnberg",4.8,20,Restaurant,49.4632453,11.084694,08,Pirckheimerstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/Deli+Desires+Dining/data=!4m7!3m6!1s0x479f57b9012766f9:0xa33078a0ff706dfd!8m2!3d49.4632453!4d11.084694!16s%2Fg%2F11rq21508w!19sChIJ-WYnAblXn0cR_W1w_6B4MKM?authuser=0&hl=de&rclk=1,2026-05-02T11:28:56Z,temporarily_closed,success,None
0x479f57c74addec75:0x772d14ecc5b67625,Der Beck,90409,"Nietzschestraße 1, 90409 Nürnberg",4.1,441,Bäckerei,49.4668077,11.0891916,26,Maxfeld,false,None,None,None,None,None,None,https://www.google.com/maps/place/Der+Beck/data=!4m7!3m6!1s0x479f57c74addec75:0x772d14ecc5b67625!8m2!3d49.4668077!4d11.0891916!16s%2Fg%2F11dx8_mh7g!19sChIJdezdSsdXn0cRJXa2xewULXc?authuser=0&hl=de&rclk=1,2026-05-02T11:20:52Z,active,success,None
0x479f57bddf3fc00f:0x390dea25affa9628,Der Beck,90409,"Bayreuther Str. 18, 90409 Nürnberg",4.1,297,Bäckerei,49.460162,11.09165,09,Wöhrd,false,None,None,None,None,None,None,https://www.google.com/maps/place/Der+Beck/data=!4m7!3m6!1s0x479f57bddf3fc00f:0x390dea25affa9628!8m2!3d49.460162!4d11.09165!16s%2Fg%2F1tk_n86g!19sChIJD8A_371Xn0cRKJb6ryXqDTk?authuser=0&hl=de&rclk=1,2026-05-02T11:21:03Z,active,success,None
0x479f57e9630f5a9f:0x81e8571a215e0fac,Der Bäcker Feihl,90409,"Äußere Bayreuther Str. 80, 90409 Nürnberg",3.8,154,Bäckerei,49.4697989,11.1016655,81,Schoppershof,false,None,None,None,None,None,None,https://www.google.com/maps/place/Der+B%C3%A4cker+Feihl/data=!4m7!3m6!1s0x479f57e9630f5a9f:0x81e8571a215e0fac!8m2!3d49.4697989!4d11.1016655!16s%2Fg%2F11c488dkg7!19sChIJn1oPY-lXn0cRrA9eIRpX6IE?authuser=0&hl=de&rclk=1,2026-05-02T10:44:23Z,active,success,None
0x479f5715ef8082a9:0x44c3fa8fe8f0a8d7,Döner&Grill,90409,"Äußere Bayreuther Str. 105, 90409 Nürnberg",None,None,Döner / Kebab,49.4718238,11.1023477,80,Schleifweg,false,None,None,None,None,None,None,https://www.google.com/maps/place/D%C3%B6ner%26Grill/data=!4m7!3m6!1s0x479f5715ef8082a9:0x44c3fa8fe8f0a8d7!8m2!3d49.4718238!4d11.1023477!16s%2Fg%2F11h0_7c3ym!19sChIJqYKA7xVXn0cR16jw6I_6w0Q?authuser=0&hl=de&rclk=1,2026-05-02T21:43:24Z,permanently_closed,success,None
0x479f57b83a93f4df:0x68561b0365dc10e9,Düll Lebkuchen,90409,"Schillerstraße 4, 90409 Nürnberg",4.4,195,Bäckerei,49.4644297,11.0825365,25,Uhlandstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/D%C3%BCll+Lebkuchen/data=!4m7!3m6!1s0x479f57b83a93f4df:0x68561b0365dc10e9!8m2!3d49.4644297!4d11.0825365!16s%2Fg%2F11cltqk0d6!19sChIJ3_STOrhXn0cR6RDcZQMbVmg?authuser=0&hl=de&rclk=1,2026-05-02T11:08:33Z,active,success,None
