rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
236,Café Ginkgo - Poké Bowl,90489,"Martin-Richter-Straße 14, 90489 Nürnberg",5,300,6–10,6,10,8,2.6,4.896,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Caf%C3%A9+Ginkgo+-+Pok%C3%A9+Bowl/data=!4m7!3m6!1s0x479f5722a9df1955:0xc010ff75d9f7acc0!8m2!3d49.4616527!4d11.0946272!16s%2Fg%2F11vbtngfdf!19sChIJVRnfqSJXn0cRwKz32XX_EMA?authuser=0&hl=de&rclk=1
237,Döppi Restaurant,90459,"Kopernikusstraße 6, 90459 Nürnberg",4.8,291,6–10,6,10,8,2.68,4.698,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/D%C3%B6ppi+Restaurant/data=!4m7!3m6!1s0x479f574e9f036cc1:0x848dcd06c618eda5!8m2!3d49.4382996!4d11.0828342!16s%2Fg%2F11ylf34cv8!19sChIJwWwDn05Xn0cRpe0YxgbNjYQ?authuser=0&hl=de&rclk=1
238,ODAY Hair and More - Friseur Nürnberg,90402,"Dr.-Kurt-Schumacher-Straße 19, 90402 Nürnberg",4.9,287,6–10,6,10,8,2.71,4.794,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/ODAY+Hair+and+More+-+Friseur+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f5735bed661d1:0xf1b63b2b677e41e3!8m2!3d49.4494925!4d11.0714723!16s%2Fg%2F11vry3gyn2!19sChIJ0WHWvjVXn0cR40F-Zys7tvE?authuser=0&hl=de&rclk=1
239,"Altes Forsthaus Fürth Eventlocation, Restaurant, Biergarten, Hochzeiten, Geburtstage, Taufen in Fürth, Nürnberg, Erlangen",90766,"Cadolzburger Str. 75, 90766 Fürth",4.9,268,6–10,6,10,8,2.9,4.787,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,"https://www.google.com/maps/place/Altes+Forsthaus+F%C3%BCrth+Eventlocation,+Restaurant,+Biergarten,+Hochzeiten,+Geburtstage,+Taufen+in+F%C3%BCrth,+N%C3%BCrnberg,+Erlangen/data=!4m7!3m6!1s0x479f55a27b2704ed:0x1d4bded81b062e6!8m2!3d49.4762124!4d10.9739179!16s%2Fg%2F1x6q0rsc!19sChIJ7QQne6JVn0cR5mKwge291AE?authuser=0&hl=de&rclk=1"
240,KozHair | Friseur in Nürnberg,90439,"Gustav-Adolf-Straße 27, 90439 Nürnberg",4.9,257,6–10,6,10,8,3.02,4.782,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/KozHair+%7C+Friseur+in+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57bf64f98aa7:0xb2700f00434ffe1b!8m2!3d49.436876!4d11.0383394!16s%2Fg%2F11h1hv9614!19sChIJp4r5ZL9Xn0cRG_5PQwAPcLI?authuser=0&hl=de&rclk=1
241,Hotel Central City Hbf Nürnberg,90459,"Comeniusstraße 1, 90459 Nürnberg",4.6,223,6–10,6,10,8,3.46,4.475,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Central+City+Hbf+N%C3%BCrnberg/data=!4m10!3m9!1s0x479f5742c29b5919:0xc924392076f36d71!5m2!4m1!1i2!8m2!3d49.4433364!4d11.0823374!16s%2Fg%2F11p67jmt7z!19sChIJGVmbwkJXn0cRcW3zdiA5JMk?authuser=0&hl=de&rclk=1
242,Ringhotel Reubel,90513,"Banderbacher Str. 27, 90513 Zirndorf",4.6,223,6–10,6,10,8,3.46,4.475,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Ringhotel+Reubel/data=!4m10!3m9!1s0x479f54f5ee4b0e0f:0x86cc82379fd5b544!5m2!4m1!1i2!8m2!3d49.4422009!4d10.9500167!16s%2Fg%2F1thg9fxw!19sChIJDw5L7vVUn0cRRLXVnzeCzIY?authuser=0&hl=de&rclk=1
243,Dilek und Friseure,90402,"Brunnengasse 15, 90402 Nürnberg",4.7,197,6–10,6,10,8,3.9,4.556,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Dilek+und+Friseure/data=!4m7!3m6!1s0x479f57a619280005:0x5177c983d59c9d7d!8m2!3d49.450282!4d11.076413!16s%2Fg%2F11ckvwdp2w!19sChIJBQAoGaZXn0cRfZ2c1YPJd1E?authuser=0&hl=de&rclk=1
244,Hype Cafe,90402,"Hefnerspl. 1, 90402 Nürnberg",4.7,176,6–10,6,10,8,4.35,4.539,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hype+Cafe/data=!4m7!3m6!1s0x479f5763c441a933:0xc1f27598556f5117!8m2!3d49.450641!4d11.072947!16s%2Fg%2F11w3bwjr38!19sChIJM6lBxGNXn0cRF1FvVZh18sE?authuser=0&hl=de&rclk=1
245,Yahiro Sushi Restaurant,90482,"Ostendstraße 229-231, 90482 Nürnberg",4.1,157,6–10,6,10,8,4.85,3.95,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Yahiro+Sushi+Restaurant/data=!4m7!3m6!1s0x479f59dc54825277:0x669907dbc834275f!8m2!3d49.4603154!4d11.1317646!16s%2Fg%2F11pz4nfg8m!19sChIJd1KCVNxZn0cRXyc0yNsHmWY?authuser=0&hl=de&rclk=1
246,Hundeschule Gehorsamer Hund,90409,"Füchtbauerstraße 5, 90409 Nürnberg",5,152,6–10,6,10,8,5,4.8,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hundeschule+Gehorsamer+Hund/data=!4m7!3m6!1s0x479f57c66d90560f:0x975788814539ac98!8m2!3d49.470423!4d11.085906!16s%2Fg%2F11_xz8yv4!19sChIJD1aQbcZXn0cRmKw5RYGIV5c?authuser=0&hl=de&rclk=1
247,Grünes Zentrum Krottenbach Baumschule & Gartencenter,90453,"Höllwiesenstraße 59, 90453 Nürnberg",4.8,151,6–10,6,10,8,5.03,4.609,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gr%C3%BCnes+Zentrum+Krottenbach+Baumschule+%26+Gartencenter/data=!4m7!3m6!1s0x479f511187992593:0x20ab8f04f7e352df!8m2!3d49.3823241!4d11.0152874!16s%2Fg%2F1thp_q7h!19sChIJkyWZhxFRn0cR31Lj9wSPqyA?authuser=0&hl=de&rclk=1
248,Apotheke im Forum,90762,"Bahnhofpl. 6, 90762 Fürth",4.6,144,6–10,6,10,8,5.26,4.411,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Apotheke+im+Forum/data=!4m7!3m6!1s0x479f55c0d3f1e2d5:0x5ebb36cbbe21996d!8m2!3d49.470764!4d10.9922591!16s%2Fg%2F1ptwl38fq!19sChIJ1eLx08BVn0cRbZkhvss2u14?authuser=0&hl=de&rclk=1
249,Pizza Pasta 0911,90419,"Sandrartstraße 53, 90419 Nürnberg",4.5,141,6–10,6,10,8,5.37,4.312,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizza+Pasta+0911/data=!4m7!3m6!1s0x479f5700312267e3:0xe28abed8336e09cc!8m2!3d49.4606199!4d11.0620395!16s%2Fg%2F11vzg9w1yq!19sChIJ42ciMQBXn0cRzAluM9i-iuI?authuser=0&hl=de&rclk=1
250,PIZZAPIRATEN,90482,"Ostendstraße 83, 90482 Nürnberg",4.8,139,6–10,6,10,8,5.44,4.593,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/PIZZAPIRATEN/data=!4m7!3m6!1s0x479f575398207237:0xd5e1ea50bfcd7ed6!8m2!3d49.454413!4d11.114467!16s%2Fg%2F11s93k1wp6!19sChIJN3IgmFNXn0cR1n7Nv1Dq4dU?authuser=0&hl=de&rclk=1
251,WHY NOT hairgroup,90403,"Obstmarkt 12, 90403 Nürnberg",4.8,137,6–10,6,10,8,5.52,4.59,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/WHY+NOT+hairgroup/data=!4m7!3m6!1s0x479f57a571f936df:0x61e89de3c147bf4!8m2!3d49.4545183!4d11.078821!16s%2Fg%2F1tgprm4v!19sChIJ3zb5caVXn0cR9HsUPN6JHgY?authuser=0&hl=de&rclk=1
252,cia‘s,90403,"Josephspl. 1, 90403 Nürnberg",4.7,133,6–10,6,10,8,5.67,4.49,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/cia%E2%80%98s/data=!4m7!3m6!1s0x479f57003d8a7ed3:0x7ed8253edb57d276!8m2!3d49.4518032!4d11.0743944!16s%2Fg%2F11xkxjv0br!19sChIJ036KPQBXn0cRdtJX2z4l2H4?authuser=0&hl=de&rclk=1
253,New york- friseur salon - Nürnberg,90461,"Allersberger Str. 66, 90461 Nürnberg",4.6,131,6–10,6,10,8,5.76,4.393,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/New+york-+friseur+salon+-+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57e97a322439:0x47b8a38385671f10!8m2!3d49.4419429!4d11.0892591!16s%2Fg%2F11jny8p9ky!19sChIJOSQyeulXn0cREB9nhYOjuEc?authuser=0&hl=de&rclk=1
254,Königs Apotheke Wolfgang Schleier e.K.,90475,"Löwenberger Str. 16, 90475 Nürnberg",4.5,126,6–10,6,10,8,5.97,4.291,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/K%C3%B6nigs+Apotheke+Wolfgang+Schleier+e.K./data=!4m7!3m6!1s0x479f596e29369407:0x743ad0121e71d909!8m2!3d49.4095172!4d11.1687028!16s%2Fg%2F1th55_3q!19sChIJB5Q2KW5Zn0cRCdlxHhLQOnQ?authuser=0&hl=de&rclk=1
255,Top Salon - Nürnberg,90402,"Färberstraße 54, 90402 Nürnberg",4.9,119,6–10,6,10,8,6.3,4.654,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Top+Salon+-+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57a835434d4d:0xfba938ebd99d6f67!8m2!3d49.4479261!4d11.0717582!16s%2Fg%2F11bz0c8s2p!19sChIJTU1DNahXn0cRZ2-d2es4qfs?authuser=0&hl=de&rclk=1
256,Mohren-Apotheke Südstadt,90459,"Wölckernstraße 1, 90459 Nürnberg",4.7,117,6–10,6,10,8,6.4,4.463,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Mohren-Apotheke+S%C3%BCdstadt/data=!4m7!3m6!1s0x479f570c0ccc9f9d:0xa2180676c9317463!8m2!3d49.440392!4d11.0805066!16s%2Fg%2F1tfm0g37!19sChIJnZ_MDAxXn0cRY3QxyXYGGKI?authuser=0&hl=de&rclk=1
257,Fahrschule Kergl,90451,"Eibacher Hauptstraße 66, 90451 Nürnberg",5,112,6–10,6,10,8,6.67,4.733,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Fahrschule+Kergl/data=!4m7!3m6!1s0x479f512162dbe37b:0x91a8f2cf24e121a9!8m2!3d49.4027639!4d11.0347544!16s%2Fg%2F1hc4kg7m5!19sChIJe-PbYiFRn0cRqSHhJM_yqJE?authuser=0&hl=de&rclk=1
258,Jungwagenmix GmbH,90469,"Zollhausstraße 18, 90469 Nürnberg",4.7,112,6–10,6,10,8,6.67,4.453,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Jungwagenmix+GmbH/data=!4m7!3m6!1s0x479f59f612cfd9c9:0x225e0efa787a2958!8m2!3d49.4022093!4d11.1173621!16s%2Fg%2F1v44czdc!19sChIJydnPEvZZn0cRWCl6ePoOXiI?authuser=0&hl=de&rclk=1
259,Herz Apotheke im Kaufland,90441,"Kaufland Nürnberg-Gibitzenhof, Dianastraße 25, 90441 Nürnberg",4.8,108,6–10,6,10,8,6.9,4.538,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Herz+Apotheke+im+Kaufland/data=!4m7!3m6!1s0x479f5718184c71c1:0x4040e535a822a92f!8m2!3d49.427266!4d11.0663265!16s%2Fg%2F1tfdcg3m!19sChIJwXFMGBhXn0cRL6kiqDXlQEA?authuser=0&hl=de&rclk=1
260,AS PHYSIO | Physiotherapie • Manuelle Therapie • Medizinische …,90489,"Äußere Sulzbacher Str. 5, 90489 Nürnberg",4.9,105,6–10,6,10,8,7.08,4.624,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/AS+PHYSIO+%7C+Physiotherapie+%E2%80%A2+Manuelle+Therapie+%E2%80%A2+Medizinische+%E2%80%A6/data=!4m7!3m6!1s0x479f5793719a0947:0x329fd0fde10c9c70!8m2!3d49.4600302!4d11.1038192!16s%2Fg%2F11c1v46q64!19sChIJRwmacZNXn0cRcJwM4f3QnzI?authuser=0&hl=de&rclk=1
261,"Vitae Center – Spa & Beauty in Nürnberg, wir sprechen Deutsch, Englisch, Griechisch und Russisch",90402,"Schlotfegergasse 26-30, 90402 Nürnberg",5,105,6–10,6,10,8,7.08,4.717,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,"https://www.google.com/maps/place/Vitae+Center+%E2%80%93+Spa+%26+Beauty+in+N%C3%BCrnberg,+wir+sprechen+Deutsch,+Englisch,+Griechisch+und+Russisch/data=!4m7!3m6!1s0x479f574ec652dfab:0xeb9e439e11c9f3d8!8m2!3d49.4503953!4d11.0675097!16s%2Fg%2F11h_xgmhzh!19sChIJq99Sxk5Xn0cR2PPJEZ5Dnus?authuser=0&hl=de&rclk=1"
262,Bäckerei Drexler,90475,"Fischbacher Hauptstraße 187, 90475 Nürnberg",4.8,85,6–10,6,10,8,8.6,4.473,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/B%C3%A4ckerei+Drexler/data=!4m7!3m6!1s0x479f593bf6040b3f:0xace185c5518df9d5!8m2!3d49.420462!4d11.193075!16s%2Fg%2F1tdvcl3g!19sChIJPwsE9jtZn0cR1fmNUcWF4aw?authuser=0&hl=de&rclk=1
263,fitnesspoint Lady Nürnberg,90459,"Wölckernstraße 10, 90459 Nürnberg",4.8,84,6–10,6,10,8,8.7,4.47,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/fitnesspoint+Lady+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f570c7a62970f:0x84d8a9be570dc42c!8m2!3d49.4401663!4d11.0813263!16s%2Fg%2F1th0xbng!19sChIJD5diegxXn0cRLMQNV76p2IQ?authuser=0&hl=de&rclk=1
264,"Riedel & Pfeuffer GmbH Haus der Gesundheit, Reha-Team Nürnberg GmbH",90471,"Tucholskystraße 2, 90471 Nürnberg",4.7,81,6–10,6,10,8,8.99,4.367,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,"https://www.google.com/maps/place/Riedel+%26+Pfeuffer+GmbH+Haus+der+Gesundheit,+Reha-Team+N%C3%BCrnberg+GmbH/data=!4m7!3m6!1s0x479f5993e389005f:0x16e18b0092d02b00!8m2!3d49.4139579!4d11.1355226!16s%2Fg%2F1vb9c16l!19sChIJXwCJ45NZn0cRACvQkgCL4RY?authuser=0&hl=de&rclk=1"
265,MEDICON Apotheke Wallensteinstraße,90439,"Wallensteinstraße 28, 90439 Nürnberg",4.2,80,6–10,6,10,8,9.09,3.909,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/MEDICON+Apotheke+Wallensteinstra%C3%9Fe/data=!4m7!3m6!1s0x479f56edf97af737:0x551422521b0a4cb0!8m2!3d49.439488!4d11.0367236!16s%2Fg%2F1tr9mf0z!19sChIJN_d6-e1Wn0cRsEwKG1IiFFU?authuser=0&hl=de&rclk=1
266,Gazi Döner,90471,"Wettersteinstraße 27, 90471 Nürnberg",4.3,78,6–10,6,10,8,9.3,3.993,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gazi+D%C3%B6ner/data=!4m7!3m6!1s0x479f5921d5ab4cd1:0x40b56c73d2bb48d3!8m2!3d49.4110177!4d11.1198515!16s%2Fg%2F11ryz7wdtq!19sChIJ0Uyr1SFZn0cR00i70nNstUA?authuser=0&hl=de&rclk=1
267,BRÜTZEL - Döner geht immer,90429,"Am Plärrer 20, 90429 Nürnberg",4.5,74,6–10,6,10,8,9.76,4.159,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/BR%C3%9CTZEL+-+D%C3%B6ner+geht+immer/data=!4m7!3m6!1s0x479f57e2a7428cb1:0xa18971673965bbd0!8m2!3d49.4485689!4d11.0651635!16s%2Fg%2F11wy26f_w8!19sChIJsYxCp-JXn0cR0LtlOWdxiaE?authuser=0&hl=de&rclk=1
268,Center Apotheke,90473,"Glogauer Str. 30-38, 90473 Nürnberg",4.1,73,6–10,6,10,8,9.88,3.794,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Center+Apotheke/data=!4m7!3m6!1s0x479f59893a64255d:0x77f2a4d506c84441!8m2!3d49.4036572!4d11.1347061!16s%2Fg%2F1x5f9b_c!19sChIJXSVkOolZn0cRQUTIBtWk8nc?authuser=0&hl=de&rclk=1
269,holiday reisemobile,90451,"Eibacher Hauptstraße 47, 90451 Nürnberg",4.2,68,6–10,6,10,8,10.53,3.863,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/holiday+reisemobile/data=!4m7!3m6!1s0x479f512c3af28835:0x579af83a3fb869e7!8m2!3d49.4043486!4d11.0352855!16s%2Fg%2F11gf5p9640!19sChIJNYjyOixRn0cR52m4Pzr4mlc?authuser=0&hl=de&rclk=1
270,Sanitätshaus Fuß-Fit-Forum Nürnberg-Innenstadt,90402,"Königstraße 87/2. Stock, 90402 Nürnberg",4.8,64,6–10,6,10,8,11.11,4.378,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Sanit%C3%A4tshaus+Fu%C3%9F-Fit-Forum+N%C3%BCrnberg-Innenstadt/data=!4m7!3m6!1s0x479f57a728589837:0x77d8d1fa827b890!8m2!3d49.4481558!4d11.0814396!16s%2Fg%2F11gbxftjp9!19sChIJN5hYKKdXn0cRkLgnqB-NfQc?authuser=0&hl=de&rclk=1
271,Pascha's Döner Kebab,90530,"Heinrich-Wich-Straße 5, 90530 Wendelstein",4.8,62,6–10,6,10,8,11.43,4.366,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pascha%27s+D%C3%B6ner+Kebab/data=!4m7!3m6!1s0x479f5bdbf3b6fb07:0x784d0eb0d8a72fa3!8m2!3d49.349537!4d11.1031993!16s%2Fg%2F11g0spp_lh!19sChIJB_u289tbn0cRoy-n2LAOTXg?authuser=0&hl=de&rclk=1
272,Pizza Zulù UG,90402,"Lorenzer Str. 5, 90402 Nürnberg",4.5,60,6–10,6,10,8,11.76,4.088,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizza+Zul%C3%B9+UG/data=!4m7!3m6!1s0x479f578d8f7fc311:0x2b23409b355023f4!8m2!3d49.4504891!4d11.0810327!16s%2Fg%2F11yg5mfknn!19sChIJEcN_j41Xn0cR9CNQNZtAIys?authuser=0&hl=de&rclk=1
273,La Pasta Cosi am Dutzendteich,90478,"Herzogstraße 22, 90478 Nürnberg",4.8,56,6–10,6,10,8,12.5,4.325,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/La+Pasta+Cosi+am+Dutzendteich/data=!4m7!3m6!1s0x479f59003f91d921:0x34ffbdeca0358ed4!8m2!3d49.4349093!4d11.1199388!16s%2Fg%2F11vytypfhq!19sChIJIdmRPwBZn0cR1I41oOy9_zQ?authuser=0&hl=de&rclk=1
274,Boardinghouse Wendelstein,90530,"Sorgwiesen 3, 90530 Wendelstein",3.1,53,6–10,6,10,8,13.11,2.825,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Boardinghouse+Wendelstein/data=!4m10!3m9!1s0x479f5b1a51cf9619:0x19732a6653ac50cd!5m2!4m1!1i2!8m2!3d49.34935!4d11.11937!16s%2Fg%2F11j016t190!19sChIJGZbPURpbn0cRzVCsU2Yqcxk?authuser=0&hl=de&rclk=1
275,Aesculap Apotheke,90763,"Waldstraße 36, 90763 Fürth",4,51,6–10,6,10,8,13.56,3.593,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Aesculap+Apotheke/data=!4m7!3m6!1s0x479f55d07472160f:0x875bada72fd6c01!8m2!3d49.4637367!4d11.0015817!16s%2Fg%2F1tfk_5tq!19sChIJDxZydNBVn0cRAWz9ctq6dQg?authuser=0&hl=de&rclk=1
276,Bäckerei Drexler,90471,"Hans-Fallada-Straße 48, 90471 Nürnberg",4.8,40,6–10,6,10,8,16.67,4.167,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/B%C3%A4ckerei+Drexler/data=!4m7!3m6!1s0x479f599467ccbef5:0x5de3c70625f211da!8m2!3d49.4160838!4d11.1343082!16s%2Fg%2F11c6lhrccz!19sChIJ9b7MZ5RZn0cR2hHyJQbH410?authuser=0&hl=de&rclk=1
277,BAR POUPETTE,90402,"Johannesgasse 22, 90402 Nürnberg",4.8,38,6–10,6,10,8,17.39,4.139,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/BAR+POUPETTE/data=!4m7!3m6!1s0x479f57d919170221:0xf7f019d2e4e5b698!8m2!3d49.4494781!4d11.0801666!16s%2Fg%2F11yrql4kb8!19sChIJIQIXGdlXn0cRmLbl5NIZ8Pc?authuser=0&hl=de&rclk=1
278,Fatos Imbiss,90459,"Gugelstraße 114, 90459 Nürnberg",4.7,37,6–10,6,10,8,17.78,4.042,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Fatos+Imbiss/data=!4m7!3m6!1s0x479f5713b13a27db:0x30d10b103b79ecbe!8m2!3d49.4328621!4d11.0780095!16s%2Fg%2F11j4sv45g0!19sChIJ2yc6sRNXn0cRvux5OxAL0TA?authuser=0&hl=de&rclk=1
279,Monteurunterkunft Ludwigskanal,90530,"Nürnberger Str. 15, 90530 Wendelstein",3.8,36,6–10,6,10,8,18.18,3.291,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Monteurunterkunft+Ludwigskanal/data=!4m10!3m9!1s0x479f5b0759b16057:0xa5ee9cf2cfa36e19!5m2!4m1!1i2!8m2!3d49.3573647!4d11.1416727!16s%2Fg%2F1tvw3y9l!19sChIJV2CxWQdbn0cRGW6jz_Kc7qU?authuser=0&hl=de&rclk=1
280,Nurban Apartments City Nürnberg,90429,"Denisstraße 56, 90429 Nürnberg",4.4,28,6–10,6,10,8,22.22,3.644,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Nurban+Apartments+City+N%C3%BCrnberg/data=!4m10!3m9!1s0x479f565854b95555:0xdb712313b8ca03b7!5m2!4m1!1i2!8m2!3d49.4517188!4d11.0463317!16s%2Fg%2F11j2g08txc!19sChIJVVW5VFhWn0cRtwPKuBMjcds?authuser=0&hl=de&rclk=1
281,Barfrieder & Bürger Rechtsanwälte Nürnberg,90491,"Volbehrstraße 11D, 90491 Nürnberg",4.7,27,6–10,6,10,8,22.86,3.854,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Barfrieder+%26+B%C3%BCrger+Rechtsanw%C3%A4lte+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f563422932e0d:0xf59fbcb5ece0fca9!8m2!3d49.4763384!4d11.1234152!16s%2Fg%2F1td5w4h2!19sChIJDS6TIjRWn0cRqfzg7LW8n_U?authuser=0&hl=de&rclk=1
282,Esso,90425,"Erlanger Str. 3, 90425 Nürnberg",4.1,24,6–10,6,10,8,25,3.325,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Esso/data=!4m7!3m6!1s0x479f56350f90fde7:0x704f6479202fb71e!8m2!3d49.4696673!4d11.0673077!16s%2Fg%2F11f5vb8_ct!19sChIJ5_2QDzVWn0cRHrcvIHlkT3A?authuser=0&hl=de&rclk=1
283,Jugendclub Orange,91054,"Sieglitzhofer Str. 25, 91054 Erlangen",5,20,6–10,6,10,8,28.57,3.857,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,"https://www.google.com/maps/place/Jugendclub+Orange/@49.6013896,11.040268,17z/data=!3m1!4b1!4m6!3m5!1s0x47a1f91332ee7335:0x9ea52f86444c6d32!8m2!3d49.6013896!4d11.040268!16s%2Fg%2F1vf9bc7z?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D&hl=de"
284,Bratwurst Röslein,90403,"Rathauspl. 6, 90403 Nürnberg",4.1,10158,2–5,2,5,3.5,0.03,4.099,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Bratwurst+R%C3%B6slein/data=!4m7!3m6!1s0x479f57af8dc40267:0xd087eac7de11e545!8m2!3d49.4545853!4d11.0780919!16s%2Fg%2F1hc89_zy1!19sChIJZwLEja9Xn0cRReUR3sfqh9A?authuser=0&hl=de&rclk=1
285,Park Plaza Nürnberg,90402,"Bahnhofstraße 5, 90402 Nürnberg",4.5,1593,2–5,2,5,3.5,0.22,4.492,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Park+Plaza+N%C3%BCrnberg/data=!4m10!3m9!1s0x479f57a0dd3a5417:0x2396d0cf1140e48e!5m2!4m1!1i2!8m2!3d49.4476416!4d11.0833369!16s%2Fg%2F11bymw0fnl!19sChIJF1Q63aBXn0cRjuRAEc_QliM?authuser=0&hl=de&rclk=1
