rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
23,HINZxKUNZ KneipenKlub,90402,"Marientorgraben 13, 90402 Nürnberg",4.6,719,101–150,101,150,125.5,14.86,4.065,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/HINZxKUNZ+KneipenKlub/data=!4m7!3m6!1s0x479f57a15cee72e3:0xbbf540ec067aea00!8m2!3d49.4502087!4d11.0838188!16s%2Fg%2F11cl_y_btv!19sChIJ43LuXKFXn0cRAOp6BuxA9bs?authuser=0&hl=de&rclk=1
24,Bootshaus Nürnberg,90478,"Bayernstraße 136, 90478 Nürnberg",4.7,679,101–150,101,150,125.5,15.6,4.123,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Bootshaus+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f59d0ebd40905:0xdff7e30b00e37e4e!8m2!3d49.4335136!4d11.1184892!16s%2Fg%2F1ttq12vt!19sChIJBQnU69BZn0cRTn7jAAvj998?authuser=0&hl=de&rclk=1
25,Palast Grill Haus,90419,"Johannisstraße 86, 90419 Nürnberg",4.7,658,101–150,101,150,125.5,16.02,4.107,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Palast+Grill+Haus/data=!4m7!3m6!1s0x479f564e5ca21c0f:0xf368021aac0dae19!8m2!3d49.4603048!4d11.0581835!16s%2Fg%2F1pp2xbpxh!19sChIJDxyiXE5Wn0cRGa4NrBoCaPM?authuser=0&hl=de&rclk=1
26,Restaurant Tiflis,90491,"Bismarckstraße 12, 90491 Nürnberg",4.7,643,101–150,101,150,125.5,16.33,4.096,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Tiflis/data=!4m7!3m6!1s0x479f56506c84f77d:0x36b27a29f51aef27!8m2!3d49.46323!4d11.10094!16s%2Fg%2F1tcw2lyx!19sChIJffeEbFBWn0cRJ-8a9Sl6sjY?authuser=0&hl=de&rclk=1
27,Spital Apotheke zum Heiligen Geist,90403,"Spitalgasse 2, 90403 Nürnberg",4.8,569,101–150,101,150,125.5,18.07,4.113,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Spital+Apotheke+zum+Heiligen+Geist/data=!4m7!3m6!1s0x479f57a5a283f249:0xa6017c4bc9c2110!8m2!3d49.45306!4d11.078228!16s%2Fg%2F1tj9sbds!19sChIJSfKDoqVXn0cRECGcvMQXYAo?authuser=0&hl=de&rclk=1
28,ZA-RA MARKT Süd GmbH,90459,"Wölckernstraße 29, 90459 Nürnberg",4.7,530,101–150,101,150,125.5,19.15,3.992,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/ZA-RA+MARKT+S%C3%BCd+GmbH/data=!4m7!3m6!1s0x479f5774ad66d9c3:0xbe584a965d55e41d!8m2!3d49.4408423!4d11.0840122!16s%2Fg%2F11b6dfp0tt!19sChIJw9lmrXRXn0cRHeRVXZZKWL4?authuser=0&hl=de&rclk=1
29,Bao Street,90473,"Glogauer Str. 30-38, 90473 Nürnberg",4.6,481,101–150,101,150,125.5,20.69,3.855,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Bao+Street/data=!4m7!3m6!1s0x479f598923a705a5:0x2913a93b37cf6f3f!8m2!3d49.4030309!4d11.1354211!16s%2Fg%2F11c59nsg4h!19sChIJpQWnI4lZn0cRP2_PNzupEyk?authuser=0&hl=de&rclk=1
30,Kochlöffel,90402,"Breite G. 26, 90402 Nürnberg",4,448,101–150,101,150,125.5,21.88,3.344,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kochl%C3%B6ffel/data=!4m7!3m6!1s0x479f57a62072091f:0xc7ab4d94fd68a8bd!8m2!3d49.450155!4d11.0758549!16s%2Fg%2F1xgrlyjb!19sChIJHwlyIKZXn0cRvaho_ZRNq8c?authuser=0&hl=de&rclk=1
31,REWE,90475,"Bregenzer Str. 15, 90475 Nürnberg",4.6,420,101–150,101,150,125.5,23.01,3.772,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/REWE/data=!4m7!3m6!1s0x479f59605b7c4aa1:0x96abf8af3c515106!8m2!3d49.3977193!4d11.1752315!16s%2Fg%2F11cm0b613p!19sChIJoUp8W2BZn0cRBlFRPK_4q5Y?authuser=0&hl=de&rclk=1
32,Gasthof Bub,90513,"Fürther Str. 5, 90513 Zirndorf",4.5,379,101–150,101,150,125.5,24.88,3.629,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gasthof+Bub/data=!4m10!3m9!1s0x479f545954dc8f85:0xc63532d641abcfe7!5m2!4m1!1i2!8m2!3d49.4421735!4d10.9574809!16s%2Fg%2F1vhq2pyy!19sChIJhY_cVFlUn0cR58-rQdYyNcY?authuser=0&hl=de&rclk=1
33,burgerme Nürnberg Nord,90419,"Bucher Str. 35, 90419 Nürnberg",4.3,288,101–150,101,150,125.5,30.35,3.298,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/burgerme+N%C3%BCrnberg+Nord/data=!4m7!3m6!1s0x479f57a6fb1b25a9:0x47670e78b47d3a9e!8m2!3d49.4610061!4d11.0720757!16s%2Fg%2F11fkrxb794!19sChIJqSUb-6ZXn0cRnjp9tHgOZ0c?authuser=0&hl=de&rclk=1
34,Piknik Pide - Gemüsekebab,90408,"Friedrich-Ebert-Platz 6, 90408 Nürnberg",4.8,262,101–150,101,150,125.5,32.39,3.569,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Piknik+Pide+-+Gem%C3%BCsekebab/data=!4m7!3m6!1s0x479f57b470022d95:0x574e7f993efee8c3!8m2!3d49.4628276!4d11.0716048!16s%2Fg%2F11bw_5kp1q!19sChIJlS0CcLRXn0cRw-j-Ppl_Tlc?authuser=0&hl=de&rclk=1
35,"Merian Apotheke im Hauptbahnhof, Inh. Merian Tasdelen",90443,"Bahnhofspl. 9, 90443 Nürnberg",4.5,116,101–150,101,150,125.5,51.97,2.681,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,"https://www.google.com/maps/place/Merian+Apotheke+im+Hauptbahnhof,+Inh.+Merian+Tasdelen/data=!4m7!3m6!1s0x479f57a64de78f63:0xc19369b0db0bc2bc!8m2!3d49.4462261!4d11.0824426!16s%2Fg%2F11vj9grwys!19sChIJY4_nTaZXn0cRvMIL27Bpk8E?authuser=0&hl=de&rclk=1"
36,Kokono Nürnberg,90402,"Luitpoldstraße 7, 90402 Nürnberg",4.7,3019,51–100,51,100,75.5,2.44,4.61,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kokono+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f5765fdee9d3f:0x43c51efa203772c6!8m2!3d49.4480793!4d11.0795829!16s%2Fg%2F11h88d3zgj!19sChIJP53u_WVXn0cRxnI3IPoexUM?authuser=0&hl=de&rclk=1
37,Tapasitos restaurante y bar,90403,"Adlerstraße 22, 90403 Nürnberg",4.6,2368,51–100,51,100,75.5,3.09,4.489,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Tapasitos+restaurante+y+bar/data=!4m7!3m6!1s0x479f57af50d0c1e7:0x3ef61e5504706412!8m2!3d49.4519728!4d11.0759483!16s%2Fg%2F1tdkl6gv!19sChIJ58HQUK9Xn0cREmRwBFUe9j4?authuser=0&hl=de&rclk=1
38,60's SMASH BURGER,90402,"Vordere Sterngasse 21, 90402 Nürnberg",4.7,2266,51–100,51,100,75.5,3.22,4.581,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/60%27s+SMASH+BURGER/data=!4m7!3m6!1s0x479f57b06224e14b:0x64f98ca5f012a6df!8m2!3d49.4474367!4d11.0782891!16s%2Fg%2F11lnk6qkhv!19sChIJS-EkYrBXn0cR36YS8KWM-WQ?authuser=0&hl=de&rclk=1
39,Taberu,90431,"Sigmundstraße 155, 90431 Nürnberg",4.7,1560,51–100,51,100,75.5,4.62,4.529,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Taberu/data=!4m7!3m6!1s0x479f57ad8c777dd9:0x720dd9af62fc8a3b!8m2!3d49.4459965!4d11.008982!16s%2Fg%2F11jr8bstjh!19sChIJ2X13jK1Xn0cRO4r8Yq_ZDXI?authuser=0&hl=de&rclk=1
